Pixel,MeanSmoothedNormalizedIntensity,StdSmoothedNormalizedIntensity,CVSmoothedNormalizedIntensity
244,0.8094136240155375,0.0013968407168865533,0.0017257440144839216
245,0.8093754784457736,0.0013944088946511806,0.0017228207819303275
246,0.8093302406304822,0.001394140231888545,0.0017225851227336887
247,0.8092852442046018,0.0013922577547571331,0.0017203548003961202
248,0.8092450878326247,0.0013865684121205626,0.00171340973577506
249,0.8092022618732081,0.0013824161439262744,0.0017083691050568043
250,0.8091421056760758,0.0013864311816543934,0.001713458207067306
251,0.8090877693808153,0.0013867704677236318,0.0017139926225617152
252,0.8090320666858032,0.001386226689543638,0.0017134384984544685
253,0.8089726045896126,0.0013860765416505224,0.0017133788385252815
254,0.8089050953602971,0.001422824891071546,0.0017589515744585598
255,0.8088417667436693,0.0014401662147940529,0.0017805289909694504
256,0.8087777201119742,0.0014719660545553382,0.00181998838240938
257,0.8087134128002715,0.0015064280291040644,0.0018627464380587785
258,0.8086340505095109,0.0015113051725027878,0.0018689605904556358
259,0.8085626501140235,0.0015123445055939746,0.0018704110378839583
260,0.8084634021747584,0.0015158942260661617,0.0018750313520543064
261,0.8083782638636172,0.0015250603028102005,0.0018865676762772235
262,0.8082957328924192,0.0015177822603211096,0.001877756121376333
263,0.8082112980351772,0.0015104198804302132,0.0018688428188298753
264,0.8081122876255555,0.001509907622989357,0.0018684378967010376
265,0.8080171970040352,0.0015036216769378269,0.001860878311146041
266,0.8079180487098873,0.0014975937321829909,0.0018536455950877724
267,0.8078223448481328,0.0015005424482461666,0.0018575154027563603
268,0.8077434153316059,0.0015359166724171916,0.0019014907992616023
269,0.807676412014336,0.0015642964614787688,0.0019367861165803155
270,0.8075902266088445,0.001604422419593892,0.001986678846190387
271,0.8075075426133612,0.0016442519571862042,0.0020362063143891653
272,0.807434294992001,0.0016810674720861855,0.00208198671088505
273,0.8073419532137457,0.0017313052617940004,0.0021444510035707673
274,0.8072532611945906,0.0017723545058571618,0.0021955371270156207
275,0.8071619852545313,0.0018172974562208532,0.0022514656158488244
276,0.8070681210799933,0.0018628579472816818,0.002308179320462892
277,0.8069766539099813,0.0019102449817176032,0.0023671626340886587
278,0.8068841075771152,0.001960374973747905,0.0024295620093875117
279,0.8068023846133714,0.00200961346559246,0.002490837290417143
280,0.8067170944173065,0.002029483304095296,0.002515731125743897
281,0.8066302400965453,0.002042670986213284,0.002532351112907443
282,0.8065437833317561,0.0020557734113541798,0.002548867716594348
283,0.8064640762402341,0.0020706491934244136,0.0025675653193107596
284,0.80638656305368,0.00208414346468666,0.002584546370408607
285,0.8063342680635376,0.0020754009668604106,0.0025738717168062525
286,0.8062826666252836,0.002065652985849086,0.0025619464132782717
287,0.8062099299116973,0.0020596672335734404,0.0025547529956608597
288,0.8061274474517817,0.002065820521691314,0.0025626475419259073
289,0.8060678129480771,0.002054463565596763,0.0025487478008616397
290,0.8059915578556703,0.0020630695461764585,0.002559666445719639
291,0.8059475625825844,0.0020551577808518642,0.002549989448775428
292,0.8059205103200814,0.0020652304188828233,0.0025625733461760282
293,0.8058742253951637,0.002047606751695074,0.0025408515214530177
294,0.8057971320233124,0.0020430726193083055,0.0025354677227235377
295,0.8057187258122454,0.0020382490223346266,0.002529727753664738
296,0.8056491446805494,0.002026869489887173,0.0025158215623636688
297,0.8055853271554353,0.0020067342496238876,0.0024910263158711855
298,0.8055214602461774,0.0019853891257673125,0.002464725303731266
299,0.8054724661082604,0.0019930098812516142,0.002474336448620134
