Pixel,SmoothedIntensityADC,ReferenceIntensityADC,ReferenceCorrectedRatio,ReferenceCorrectedRatioNormalizedMax
275,2302.0114244729098,2302.0114244729098,1.0,1.0
276,2302.343187366075,2302.343187366075,1.0,1.0
277,2302.736958243909,2302.736958243909,1.0,1.0
278,2303.1001325549246,2303.1001325549246,1.0,1.0
279,2303.4921125034884,2303.4921125034884,1.0,1.0
280,2303.8530688510036,2303.8530688510036,1.0,1.0
281,2304.1436804598857,2304.1436804598857,1.0,1.0
282,2304.4451387382055,2304.4451387382055,1.0,1.0
283,2304.747555664797,2304.747555664797,1.0,1.0
284,2305.050652360162,2305.050652360162,1.0,1.0
285,2305.374684190771,2305.374684190771,1.0,1.0
286,2305.680953140415,2305.680953140415,1.0,1.0
287,2305.989714575563,2305.989714575563,1.0,1.0
288,2306.28147133338,2306.28147133338,1.0,1.0
289,2306.576461350365,2306.576461350365,1.0,1.0
290,2306.874388317054,2306.874388317054,1.0,1.0
291,2307.154421678014,2307.154421678014,1.0,1.0
292,2307.406638552141,2307.406638552141,1.0,1.0
293,2307.6615004239975,2307.6615004239975,1.0,1.0
294,2307.908400286214,2307.908400286214,1.0,1.0
295,2308.1565986810874,2308.1565986810874,1.0,1.0
296,2308.405747009249,2308.405747009249,1.0,1.0
297,2308.6554966713256,2308.6554966713256,1.0,1.0
298,2308.905499067946,2308.905499067946,1.0,1.0
299,2309.1656727227237,2309.1656727227237,1.0,1.0
300,2309.426068609599,2309.426068609599,1.0,1.0
301,2309.715174269197,2309.715174269197,1.0,1.0
302,2310.001874593133,2310.001874593133,1.0,1.0
303,2310.257028416963,2310.257028416963,1.0,1.0
304,2310.5110972252505,2310.5110972252505,1.0,1.0
305,2310.763741133607,2310.763741133607,1.0,1.0
306,2311.014620257646,2311.014620257646,1.0,1.0
307,2311.263394712981,2311.263394712981,1.0,1.0
308,2311.5097246152254,2311.5097246152254,1.0,1.0
309,2311.753270079991,2311.753270079991,1.0,1.0
310,2311.993691222892,2311.993691222892,1.0,1.0
311,2312.23064815954,2312.23064815954,1.0,1.0
312,2312.4638010055487,2312.4638010055487,1.0,1.0
313,2312.721637301541,2312.721637301541,1.0,1.0
314,2312.9730419391326,2312.9730419391326,1.0,1.0
315,2313.2177011788895,2313.2712259978575,0.999976861848984,0.999976861848984
316,2313.495053810684,2313.560444080753,0.9999717360874508,0.9999717360874508
317,2313.765068425713,2313.8401889757333,0.9999675342530662,0.9999675342530662
318,2314.078801759395,2314.1101818033007,0.9999864396932555,0.9999864396932555
319,2314.387972798804,2314.387972798804,1.0,1.0
320,2314.7115645227072,2314.7115645227072,1.0,1.0
321,2315.028824810528,2315.028824810528,1.0,1.0
322,2315.339535787661,2315.339535787661,1.0,1.0
323,2315.643479579498,2315.643479579498,1.0,1.0
324,2315.9212200280936,2315.9212200280936,1.0,1.0
325,2316.1450103664874,2316.1450103664874,1.0,1.0
326,2316.3659073300996,2316.3659073300996,1.0,1.0
327,2316.5836320394333,2316.5836320394333,1.0,1.0
328,2316.797905614991,2316.8156214350406,0.9999923533750871,0.9999923533750871
329,2317.0084491772755,2317.065754556425,0.9999752681256296,0.9999752681256296
330,2317.2252509697732,2317.3078829647466,0.9999643413826964,0.9999643413826964
331,2317.4692330552516,2317.541788785398,0.9999686928061029,0.9999686928061029
332,2317.7113239891414,2317.767254143771,0.9999758689512377,0.9999758689512377
333,2317.951279751881,2317.9840611652594,0.9999858577917219,0.9999858577917219
334,2318.1888563239118,2318.1919919752563,0.9999986473720229,0.9999986473720229
335,2318.4238096856734,2318.4238096856734,1.0,1.0
336,2318.6558958176056,2318.6558958176056,1.0,1.0
337,2318.8540693311998,2318.8540693311998,1.0,1.0
338,2319.0468874869525,2319.0468874869525,1.0,1.0
339,2319.2238129973675,2319.2238129973675,1.0,1.0
340,2319.394176124618,2319.394176124618,1.0,1.0
341,2319.5576979892057,2319.5576979892057,1.0,1.0
342,2319.714099711635,2319.714099711635,1.0,1.0
343,2319.863102412409,2319.863102412409,1.0,1.0
344,2320.0044272120294,2320.0044272120294,1.0,1.0
345,2320.1480623539837,2320.1480623539837,1.0,1.0
346,2320.314929901038,2320.314929901038,1.0,1.0
347,2320.4375218419436,2320.4426044207767,0.9999978096511315,0.9999978096511315
348,2320.5668949121196,2320.597374698149,0.9999868655431736,0.9999868655431736
349,2320.6931698053827,2320.7499923744026,0.9999755154285439,0.9999755154285439
350,2320.84687772617,2320.890639148246,0.9999811445566035,0.9999811445566035
351,2320.998947229913,2320.998947229913,1.0,1.0
352,2321.1491342970503,2321.1491342970503,1.0,1.0
353,2321.297194908023,2321.297194908023,1.0,1.0
354,2321.442885043271,2321.442885043271,1.0,1.0
355,2321.5859606832337,2321.5859606832337,1.0,1.0
356,2321.7364449313354,2321.7364449313354,1.0,1.0
357,2321.88449334133,2321.88449334133,1.0,1.0
358,2322.0298706086423,2322.0298706086423,1.0,1.0
359,2322.152465164043,2322.152465164043,1.0,1.0
360,2322.281509679311,2322.281509679311,1.0,1.0
361,2322.406493011904,2322.406493011904,1.0,1.0
362,2322.5271711422606,2322.5271711422606,1.0,1.0
363,2322.6535671738056,2322.6535671738056,1.0,1.0
364,2322.7758366602925,2322.7758366602925,1.0,1.0
365,2322.893744297146,2322.893744297146,1.0,1.0
366,2323.0070547797905,2323.0070547797905,1.0,1.0
367,2323.1155328036502,2323.1155328036502,1.0,1.0
368,2323.2908129250327,2323.2908129250327,1.0,1.0
369,2323.465456852562,2323.465456852562,1.0,1.0
370,2323.6392902865537,2323.6392902865537,1.0,1.0
371,2323.8121389273215,2323.8121389273215,1.0,1.0
372,2323.9838284751795,2323.9838284751795,1.0,1.0
373,2324.1541846304417,2324.1541846304417,1.0,1.0
374,2324.323033093424,2324.323033093424,1.0,1.0
375,2324.490199564439,2324.490199564439,1.0,1.0
376,2324.6459006021323,2324.6459006021323,1.0,1.0
377,2324.800220314816,2324.800220314816,1.0,1.0
378,2324.962584829492,2324.962584829492,1.0,1.0
379,2325.1225527234906,2325.1225527234906,1.0,1.0
380,2325.279949697125,2325.279949697125,1.0,1.0
381,2325.42499230904,2325.42499230904,1.0,1.0
382,2325.56776466755,2325.56776466755,1.0,1.0
383,2325.7080837579847,2325.7080837579847,1.0,1.0
384,2325.845766565674,2325.845766565674,1.0,1.0
385,2325.980630075948,2325.980630075948,1.0,1.0
386,2326.1124912741357,2326.1124912741357,1.0,1.0
387,2326.2226068435425,2326.2226068435425,1.0,1.0
388,2326.3319685668084,2326.3319685668084,1.0,1.0
389,2326.4403759992956,2326.4403759992956,1.0,1.0
390,2326.5476286963653,2326.5476286963653,1.0,1.0
391,2326.691962780059,2326.691962780059,1.0,1.0
392,2326.8321441737417,2326.8321441737417,1.0,1.0
393,2326.9680072927126,2326.9680072927126,1.0,1.0
394,2327.09938655227,2327.09938655227,1.0,1.0
395,2327.2261163677126,2327.2261163677126,1.0,1.0
396,2327.368565400306,2327.368565400306,1.0,1.0
397,2327.507367211977,2327.507367211977,1.0,1.0
398,2327.642373647993,2327.642373647993,1.0,1.0
399,2327.8022639786304,2327.8022639786304,1.0,1.0
