Pixel,MeanIntensityADC,StdIntensityADC,CVIntensity,MeanSmoothedIntensityADC,MeanSmoothedNormalizedIntensity,StdSmoothedNormalizedIntensity,MeanReferenceCorrectedRatio,StdReferenceCorrectedRatio,MeanReferenceCorrectedRatioNormalizedMax
2626,1049.4,9.343446901438462,0.008903608634875606,1049.1988687950463,0.62225853937963,0.001341933885857792,0.6404788216269195,0.003265267209196963,0.9247573699308618
2627,1046.0,5.787918451395113,0.005533382840721905,1049.6700360538962,0.6225380206948211,0.0013410385978599654,0.640579290758143,0.0032546100096700024,0.9249024954217633
2628,1047.0,12.041594578792296,0.011501045442972584,1050.1495022436789,0.6228223407622372,0.0013379501859771615,0.6406848024568921,0.003264098294265942,0.9250547782657103
2629,1054.6,5.176871642217914,0.004908848513386985,1050.6387290415582,0.6231124504670575,0.0013339222899468434,0.640781007484809,0.003272897798644273,0.9251936247983418
2630,1053.2,10.497618777608569,0.00996735546677608,1051.0985547941627,0.6233851366610013,0.0013027789584061618,0.6408593423334975,0.003266660405200974,0.92530668741753
2631,1051.2,7.224956747275377,0.006873056266433958,1051.5876355289056,0.6236751260395555,0.0012756783818515585,0.6409558751238069,0.0032744532666433655,0.9254459557478005
2632,1050.4,8.44393273303382,0.00803877830639168,1052.1146215648864,0.6239876881032063,0.0012575461764324318,0.641068659097024,0.0032629466432079228,0.9256088217316003
2633,1050.4,7.956129712366435,0.0075743809142863995,1052.6481684153346,0.6243041409460981,0.001242221173288043,0.641197653655457,0.0032528056436164155,0.9257950931868256
2634,1055.2,5.019960159204453,0.004757354206979201,1053.1998628261538,0.6246313621439393,0.001228021817418555,0.6413339345119131,0.0032418073412028973,0.9259918923695963
2635,1058.0,8.154753215150045,0.007707706252504768,1053.7363033999832,0.6249495153796673,0.0012279922853629267,0.6414534771316888,0.0032418234586960065,0.9261644959153486
2636,1055.0,7.314369419163897,0.006933051582145873,1054.2865343906415,0.6252757677539015,0.001229076122194683,0.6415742947899626,0.0032624821240207205,0.9263388229523167
2637,1050.2,10.158740079360236,0.009673148047381674,1054.8431630512616,0.6256058311881935,0.0012262974919566134,0.641718469868269,0.0032773900900576686,0.926546898097835
2638,1056.6,13.221195104830729,0.01251296148479153,1055.4300635583868,0.6259538887206213,0.0012201609937418745,0.6418878127521739,0.0032809025347930254,0.9267913711612932
2639,1052.6,8.44393273303382,0.008021976755684801,1056.0275261035629,0.6263082098537209,0.0012201664962592056,0.6420546551323916,0.00328692774139474,0.9270322335588604
2640,1051.8,8.955445270895245,0.008514399382862945,1056.6288936588965,0.6266648214603865,0.0012189367686212334,0.6422153103013515,0.0032987857911746686,0.9272641241606004
2641,1059.4,8.792041856133308,0.00829907670014471,1057.233395819777,0.6270233093823586,0.0012097672414969427,0.642384675860532,0.0033033102662437808,0.9275086142569355
2642,1057.6,9.071934744033381,0.00857785055222521,1057.819637996989,0.6273709563637746,0.0011924088662127782,0.6425191015023097,0.0033074738529156812,0.9277026422898225
2643,1056.8,7.661592523751182,0.007249803675010581,1058.41787425847,0.6277256747503467,0.0011881737765451195,0.6426603521966839,0.003326966614276444,0.9279064594764265
2644,1057.8,12.31665539016173,0.011643652287919956,1059.0461662348455,0.6280982042057832,0.0011963944962212181,0.6427949490069533,0.003354428524920092,0.9281006511670501
2645,1065.4,6.58027355054484,0.006176340858405143,1059.65334982209,0.6284582117729083,0.0012005051207909434,0.6429069352819589,0.003380810086115293,0.9282621954110695
2646,1065.0,6.96419413859206,0.006539149425908037,1060.252095038653,0.6288132491095165,0.0011966141240841869,0.6430043737429312,0.0033956000864277364,0.9284027874691899
2647,1065.0,6.442049363362563,0.006048872641654989,1060.8649215782202,0.6291766504451809,0.0011970528981816745,0.6431012864514122,0.003408835717200367,0.9285426363576306
2648,1056.8,5.540758070878027,0.005242958053442494,1061.4753305811473,0.6295385689567625,0.0012015559698350198,0.6431880293779539,0.00343519695526687,0.9286677311091479
2649,1064.2,6.978538528947161,0.006557544191831573,1062.0903940828807,0.6299032830887692,0.0011916629643847492,0.6432692522485495,0.0034478243690407753,0.9287849072384413
2650,1065.8,6.300793600809346,0.005911797336094339,1062.7397613314467,0.6302883478712323,0.0011907672841092267,0.6433707501696813,0.0034623048683396053,0.9289313647133337
2651,1057.0,10.793516572461451,0.010211463171675924,1063.4173199854697,0.6306901649377596,0.0011854895188497959,0.6434998725369223,0.0034676167178087566,0.9291177559349096
2652,1056.2,9.20326029187483,0.008713558314594612,1064.1237864166574,0.6311091567864512,0.0011740694624834682,0.6436214292849533,0.003463547034322978,0.9292932650397999
2653,1057.4,5.9413803110051795,0.005618857869306959,1064.8475669071195,0.6315384376248006,0.0011645244468444175,0.6437597156163076,0.003455378673868041,0.9294929599547814
2654,1061.0,11.157956802210698,0.01051645315948228,1065.576014968863,0.6319704842537954,0.0011524997310911503,0.6438765160561861,0.0034468382974681714,0.9296616274257588
2655,1062.6,9.016651263079881,0.008485461380651121,1066.2970000409666,0.6323981197834605,0.0011529323612972135,0.6439995489355613,0.0034390831724265226,0.9298393181310592
2656,1056.6,13.24009063413087,0.012530844817462495,1067.0134820806911,0.6328230712068337,0.0011474283720713024,0.6441120434809099,0.0034324517424533874,0.9300017744368851
2657,1074.6,5.856620185738529,0.005450046701785343,1067.730851828715,0.6332485462777147,0.0011354195695108243,0.6442091538064729,0.003424220742853777,0.9301420151784343
2658,1078.0,6.6332495807108,0.006153292746484972,1068.4797869012104,0.6336927478049282,0.0011247544858506515,0.6443167273623771,0.003415147772696787,0.930297369438619
2659,1076.6,7.436396977031284,0.006907297953772324,1069.2231363659798,0.6341336821792377,0.001113687422365503,0.64441272828643,0.00339488209113941,0.9304360810534311
2660,1072.8,9.497368056467012,0.00885287850155389,1069.9754084059573,0.6345798569822227,0.0011165298753743357,0.6445446154473469,0.0033918293177088083,0.9306265328084352
